"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48160","should complete employee lifecycle: create → delete → verify absence","regression-chromium","2026-09-10","passed","2026-09-10","@regression PIM Employee Lifecycle","","",""
"","22270","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","2026-09-10","passed","2026-09-10","@smoke Navigation to PIM","","",""
"","15666","should login successfully with valid credentials","auth-chromium","2026-09-10","passed","2026-09-10","@auth Login Smoke Suite","","",""
"","2698","Should successfully provision a new employee record via POST","api-only","2026-09-10","passed","2026-09-10","OrangeHRM - PIM Module REST API Validations","","",""
"","45871","should complete employee lifecycle: create → delete → verify absence","regression-firefox","2026-09-10","passed","2026-09-10","@regression PIM Employee Lifecycle","","",""
"","13939","Authenticate","setup-chromium","2026-09-10","passed","2026-09-10","","","",""
"","709","@smoke find specific product another way","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","1022","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","1332","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","1359","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","0","should complete employee lifecycle: create → delete → verify absence","regression-webkit","2026-09-10","skipped","2026-09-10","@regression PIM Employee Lifecycle","","",""
"","1019","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","851","@smoke find specific product","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","15124","Authenticate","setup-firefox","2026-09-10","passed","2026-09-10","","","",""
"","1224","@smoke add to cart functionality","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","929","@smoke product cost validation","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","849","@smoke Verify page title","smoke-chromium","2026-09-10","passed","2026-09-10","","","",""
"","22790","should logout user and invalidate session","auth-chromium","2026-09-10","passed","2026-09-10","@auth Logout Flow","","",""
"","10580","Authenticate","setup-webkit","2026-09-10","failed","2026-09-10","","","",""
